THE INDEX / ACCESSIBILITY CONFORMANCE

AXE-CORE 4.13.0
RULESET  wcag2a, wcag2aa, wcag21a, wcag21aa (WCAG 2.0 and 2.1, levels A and AA)
SWEPT 2026-09-05T07:30:03Z

Every route the build emits is loaded in headless Chromium in both
themes at 375 and 1280 CSS pixels wide, and audited with axe-core.
One violation fails the build. This file is written by that check,
test/gates/a11y.mjs, and is not editable by hand.

ROUTES 96   THEMES 2   VIEWPORTS 2   CHECKS 384

ROUTE                     THEME  VIEWPORT   VIOLATIONS
----------------------------------------------------------
/_specimen                light  375x812    0
/_states                  light  375x812    0
/colophon                 light  375x812    0
/covenant                 light  375x812    0
/data                     light  375x812    0
/drop                     light  375x812    0
/kills                    light  375x812    0
/kills/brex-staff-product light  375x812    0
/methodology              light  375x812    0
/not-here                 light  375x812    0
/privacy                  light  375x812    0
/report                   light  375x812    0
/report/cover             light  375x812    0
/role/abridge-design-oper light  375x812    0
/role/abridge-senior-prod light  375x812    0
/role/abridge-staff-produ light  375x812    0
/role/ambience-healthcare light  375x812    0
/role/anysphere-cursor-de light  375x812    0
/role/clay-product-design light  375x812    0
/role/clay-product-design light  375x812    0
/role/commure-brand-desig light  375x812    0
/role/conveo-design-lead  light  375x812    0
/role/conveo-staff-produc light  375x812    0
/role/decagon-brand-desig light  375x812    0
/role/decagon-senior-prod light  375x812    0
/role/elevenlabs-brand-de light  375x812    0
/role/elevenlabs-product- light  375x812    0
/role/figma-brand-designe light  375x812    0
/role/figma-manager-produ light  375x812    0
/role/figma-product-desig light  375x812    0
/role/figma-product-desig light  375x812    0
/role/figma-product-desig light  375x812    0
/role/figma-product-desig light  375x812    0
/role/figma-product-desig light  375x812    0
/role/gamma-creative-dire light  375x812    0
/role/gamma-senior-produc light  375x812    0
/role/harvey-product-desi light  375x812    0
/role/harvey-product-desi light  375x812    0
/role/harvey-senior-brand light  375x812    0
/role/harvey-senior-brand light  375x812    0
/role/harvey-senior-manag light  375x812    0
/role/harvey-senior-manag light  375x812    0
/role/harvey-senior-or-st light  375x812    0
/role/harvey-senior-or-st light  375x812    0
/role/harvey-staff-produc light  375x812    0
/role/harvey-staff-produc light  375x812    0
/role/harvey-staff-produc light  375x812    0
/role/harvey-uxr-operatio light  375x812    0
/role/linear-mobile-produ light  375x812    0
/role/linear-principal-pr light  375x812    0
/role/linear-senior-staff light  375x812    0
/role/listen-labs-foundin light  375x812    0
/role/mercury-senior-desi light  375x812    0
/role/mercury-senior-desi light  375x812    0
/role/mercury-senior-fron light  375x812    0
/role/mercury-senior-prod light  375x812    0
/role/mercury-senior-prod light  375x812    0
/role/mercury-senior-prod light  375x812    0
/role/mercury-staff-brand light  375x812    0
/role/mercury-staff-visua light  375x812    0
/role/notion-brand-design light  375x812    0
/role/notion-product-desi light  375x812    0
/role/openai-actuator-des light  375x812    0
/role/openai-actuator-ele light  375x812    0
/role/openai-actuator-gea light  375x812    0
/role/openai-data-center- light  375x812    0
/role/openai-hardware-sof light  375x812    0
/role/openai-product-desi light  375x812    0
/role/openai-product-desi light  375x812    0
/role/openai-product-desi light  375x812    0
/role/openai-product-desi light  375x812    0
/role/openai-product-desi light  375x812    0
/role/openai-product-desi light  375x812    0
/role/openai-product-desi light  375x812    0
/role/openai-senior-rtl-d light  375x812    0
/role/outset-product-desi light  375x812    0
/role/perplexity-brand-de light  375x812    0
/role/perplexity-design-e light  375x812    0
/role/perplexity-design-s light  375x812    0
/role/perplexity-lead-pro light  375x812    0
/role/perplexity-lead-pro light  375x812    0
/role/ramp-associate-crea light  375x812    0
/role/ramp-design-enginee light  375x812    0
/role/ramp-director-produ light  375x812    0
/role/ramp-product-design light  375x812    0
/role/ramp-senior-brand-d light  375x812    0
/role/replit-brand-design light  375x812    0
/role/replit-design-engin light  375x812    0
/role/replit-director-of- light  375x812    0
/role/replit-engineering- light  375x812    0
/role/sierra-product-desi light  375x812    0
/role/vercel-product-desi light  375x812    0
/role/vercel-senior-brand light  375x812    0
/role/vercel-senior-produ light  375x812    0
/role/webflow-staff-brand light  375x812    0
/terms                    light  375x812    0
/_specimen                dark   375x812    0
/_states                  dark   375x812    0
/colophon                 dark   375x812    0
/covenant                 dark   375x812    0
/data                     dark   375x812    0
/drop                     dark   375x812    0
/kills                    dark   375x812    0
/kills/brex-staff-product dark   375x812    0
/methodology              dark   375x812    0
/not-here                 dark   375x812    0
/privacy                  dark   375x812    0
/report                   dark   375x812    0
/report/cover             dark   375x812    0
/role/abridge-design-oper dark   375x812    0
/role/abridge-senior-prod dark   375x812    0
/role/abridge-staff-produ dark   375x812    0
/role/ambience-healthcare dark   375x812    0
/role/anysphere-cursor-de dark   375x812    0
/role/clay-product-design dark   375x812    0
/role/clay-product-design dark   375x812    0
/role/commure-brand-desig dark   375x812    0
/role/conveo-design-lead  dark   375x812    0
/role/conveo-staff-produc dark   375x812    0
/role/decagon-brand-desig dark   375x812    0
/role/decagon-senior-prod dark   375x812    0
/role/elevenlabs-brand-de dark   375x812    0
/role/elevenlabs-product- dark   375x812    0
/role/figma-brand-designe dark   375x812    0
/role/figma-manager-produ dark   375x812    0
/role/figma-product-desig dark   375x812    0
/role/figma-product-desig dark   375x812    0
/role/figma-product-desig dark   375x812    0
/role/figma-product-desig dark   375x812    0
/role/figma-product-desig dark   375x812    0
/role/gamma-creative-dire dark   375x812    0
/role/gamma-senior-produc dark   375x812    0
/role/harvey-product-desi dark   375x812    0
/role/harvey-product-desi dark   375x812    0
/role/harvey-senior-brand dark   375x812    0
/role/harvey-senior-brand dark   375x812    0
/role/harvey-senior-manag dark   375x812    0
/role/harvey-senior-manag dark   375x812    0
/role/harvey-senior-or-st dark   375x812    0
/role/harvey-senior-or-st dark   375x812    0
/role/harvey-staff-produc dark   375x812    0
/role/harvey-staff-produc dark   375x812    0
/role/harvey-staff-produc dark   375x812    0
/role/harvey-uxr-operatio dark   375x812    0
/role/linear-mobile-produ dark   375x812    0
/role/linear-principal-pr dark   375x812    0
/role/linear-senior-staff dark   375x812    0
/role/listen-labs-foundin dark   375x812    0
/role/mercury-senior-desi dark   375x812    0
/role/mercury-senior-desi dark   375x812    0
/role/mercury-senior-fron dark   375x812    0
/role/mercury-senior-prod dark   375x812    0
/role/mercury-senior-prod dark   375x812    0
/role/mercury-senior-prod dark   375x812    0
/role/mercury-staff-brand dark   375x812    0
/role/mercury-staff-visua dark   375x812    0
/role/notion-brand-design dark   375x812    0
/role/notion-product-desi dark   375x812    0
/role/openai-actuator-des dark   375x812    0
/role/openai-actuator-ele dark   375x812    0
/role/openai-actuator-gea dark   375x812    0
/role/openai-data-center- dark   375x812    0
/role/openai-hardware-sof dark   375x812    0
/role/openai-product-desi dark   375x812    0
/role/openai-product-desi dark   375x812    0
/role/openai-product-desi dark   375x812    0
/role/openai-product-desi dark   375x812    0
/role/openai-product-desi dark   375x812    0
/role/openai-product-desi dark   375x812    0
/role/openai-product-desi dark   375x812    0
/role/openai-senior-rtl-d dark   375x812    0
/role/outset-product-desi dark   375x812    0
/role/perplexity-brand-de dark   375x812    0
/role/perplexity-design-e dark   375x812    0
/role/perplexity-design-s dark   375x812    0
/role/perplexity-lead-pro dark   375x812    0
/role/perplexity-lead-pro dark   375x812    0
/role/ramp-associate-crea dark   375x812    0
/role/ramp-design-enginee dark   375x812    0
/role/ramp-director-produ dark   375x812    0
/role/ramp-product-design dark   375x812    0
/role/ramp-senior-brand-d dark   375x812    0
/role/replit-brand-design dark   375x812    0
/role/replit-design-engin dark   375x812    0
/role/replit-director-of- dark   375x812    0
/role/replit-engineering- dark   375x812    0
/role/sierra-product-desi dark   375x812    0
/role/vercel-product-desi dark   375x812    0
/role/vercel-senior-brand dark   375x812    0
/role/vercel-senior-produ dark   375x812    0
/role/webflow-staff-brand dark   375x812    0
/terms                    dark   375x812    0
/_specimen                light  1280x800   0
/_states                  light  1280x800   0
/colophon                 light  1280x800   0
/covenant                 light  1280x800   0
/data                     light  1280x800   0
/drop                     light  1280x800   0
/kills                    light  1280x800   0
/kills/brex-staff-product light  1280x800   0
/methodology              light  1280x800   0
/not-here                 light  1280x800   0
/privacy                  light  1280x800   0
/report                   light  1280x800   0
/report/cover             light  1280x800   0
/role/abridge-design-oper light  1280x800   0
/role/abridge-senior-prod light  1280x800   0
/role/abridge-staff-produ light  1280x800   0
/role/ambience-healthcare light  1280x800   0
/role/anysphere-cursor-de light  1280x800   0
/role/clay-product-design light  1280x800   0
/role/clay-product-design light  1280x800   0
/role/commure-brand-desig light  1280x800   0
/role/conveo-design-lead  light  1280x800   0
/role/conveo-staff-produc light  1280x800   0
/role/decagon-brand-desig light  1280x800   0
/role/decagon-senior-prod light  1280x800   0
/role/elevenlabs-brand-de light  1280x800   0
/role/elevenlabs-product- light  1280x800   0
/role/figma-brand-designe light  1280x800   0
/role/figma-manager-produ light  1280x800   0
/role/figma-product-desig light  1280x800   0
/role/figma-product-desig light  1280x800   0
/role/figma-product-desig light  1280x800   0
/role/figma-product-desig light  1280x800   0
/role/figma-product-desig light  1280x800   0
/role/gamma-creative-dire light  1280x800   0
/role/gamma-senior-produc light  1280x800   0
/role/harvey-product-desi light  1280x800   0
/role/harvey-product-desi light  1280x800   0
/role/harvey-senior-brand light  1280x800   0
/role/harvey-senior-brand light  1280x800   0
/role/harvey-senior-manag light  1280x800   0
/role/harvey-senior-manag light  1280x800   0
/role/harvey-senior-or-st light  1280x800   0
/role/harvey-senior-or-st light  1280x800   0
/role/harvey-staff-produc light  1280x800   0
/role/harvey-staff-produc light  1280x800   0
/role/harvey-staff-produc light  1280x800   0
/role/harvey-uxr-operatio light  1280x800   0
/role/linear-mobile-produ light  1280x800   0
/role/linear-principal-pr light  1280x800   0
/role/linear-senior-staff light  1280x800   0
/role/listen-labs-foundin light  1280x800   0
/role/mercury-senior-desi light  1280x800   0
/role/mercury-senior-desi light  1280x800   0
/role/mercury-senior-fron light  1280x800   0
/role/mercury-senior-prod light  1280x800   0
/role/mercury-senior-prod light  1280x800   0
/role/mercury-senior-prod light  1280x800   0
/role/mercury-staff-brand light  1280x800   0
/role/mercury-staff-visua light  1280x800   0
/role/notion-brand-design light  1280x800   0
/role/notion-product-desi light  1280x800   0
/role/openai-actuator-des light  1280x800   0
/role/openai-actuator-ele light  1280x800   0
/role/openai-actuator-gea light  1280x800   0
/role/openai-data-center- light  1280x800   0
/role/openai-hardware-sof light  1280x800   0
/role/openai-product-desi light  1280x800   0
/role/openai-product-desi light  1280x800   0
/role/openai-product-desi light  1280x800   0
/role/openai-product-desi light  1280x800   0
/role/openai-product-desi light  1280x800   0
/role/openai-product-desi light  1280x800   0
/role/openai-product-desi light  1280x800   0
/role/openai-senior-rtl-d light  1280x800   0
/role/outset-product-desi light  1280x800   0
/role/perplexity-brand-de light  1280x800   0
/role/perplexity-design-e light  1280x800   0
/role/perplexity-design-s light  1280x800   0
/role/perplexity-lead-pro light  1280x800   0
/role/perplexity-lead-pro light  1280x800   0
/role/ramp-associate-crea light  1280x800   0
/role/ramp-design-enginee light  1280x800   0
/role/ramp-director-produ light  1280x800   0
/role/ramp-product-design light  1280x800   0
/role/ramp-senior-brand-d light  1280x800   0
/role/replit-brand-design light  1280x800   0
/role/replit-design-engin light  1280x800   0
/role/replit-director-of- light  1280x800   0
/role/replit-engineering- light  1280x800   0
/role/sierra-product-desi light  1280x800   0
/role/vercel-product-desi light  1280x800   0
/role/vercel-senior-brand light  1280x800   0
/role/vercel-senior-produ light  1280x800   0
/role/webflow-staff-brand light  1280x800   0
/terms                    light  1280x800   0
/_specimen                dark   1280x800   0
/_states                  dark   1280x800   0
/colophon                 dark   1280x800   0
/covenant                 dark   1280x800   0
/data                     dark   1280x800   0
/drop                     dark   1280x800   0
/kills                    dark   1280x800   0
/kills/brex-staff-product dark   1280x800   0
/methodology              dark   1280x800   0
/not-here                 dark   1280x800   0
/privacy                  dark   1280x800   0
/report                   dark   1280x800   0
/report/cover             dark   1280x800   0
/role/abridge-design-oper dark   1280x800   0
/role/abridge-senior-prod dark   1280x800   0
/role/abridge-staff-produ dark   1280x800   0
/role/ambience-healthcare dark   1280x800   0
/role/anysphere-cursor-de dark   1280x800   0
